area_nm,visit_dt,visitor_sum,tourist_type
대구,2022-03-11,317,외국인
대구,2022-03-12,362,외국인
대구,2022-06-10,2215333,내국인
대구,2022-08-13,265,외국인
대구,2022-08-17,259,외국인
대구,2022-10-06,322,외국인
대구,2022-12-06,2135494,내국인
대구,2023-01-07,2404598,내국인
대구,2023-04-10,2198514,내국인
대구,2020-11-05,478,외국인
대구,2020-11-22,265,외국인
대구,2021-02-15,1978933,내국인
대구,2021-04-12,1894450,내국인
대구,2021-05-21,226,외국인
대구,2021-09-22,2206435,내국인
대구,2021-10-03,230,외국인
대구,2021-12-05,2129003,내국인
대구,2021-12-22,2136521,내국인
대구,2022-02-10,206,외국인
대구,2022-02-16,236,외국인
대구,2022-05-26,2186,외국인
대구,2022-06-05,758,외국인
대구,2022-08-03,2145108,내국인
대구,2022-08-09,2123568,내국인
대구,2023-01-07,301,외국인
대구,2023-04-10,1181,외국인
대구,2020-07-21,2114587,내국인
대구,2020-11-20,2247391,내국인
대구,2021-01-17,1728517,내국인
대구,2021-02-07,1884236,내국인
대구,2021-02-08,1944823,내국인
대구,2021-02-19,278,외국인
대구,2021-06-24,2226547,내국인
대구,2021-09-12,2067521,내국인
대구,2021-09-28,2183022,내국인
대구,2021-10-06,2095088,내국인
대구,2021-12-18,353,외국인
대구,2022-02-12,198,외국인
대구,2022-06-17,2251462,내국인
대구,2022-09-03,2471935,내국인
대구,2022-09-27,2377246,내국인
대구,2022-10-23,2346424,내국인
대구,2022-12-28,2303089,내국인
대구,2023-01-17,2246639,내국인
대구,2023-01-27,2311438,내국인
대구,2023-02-19,235,외국인
대구,2023-04-23,1043,외국인
대구,2021-01-30,198,외국인
대구,2021-03-05,315,외국인
대구,2021-05-17,2008141,내국인
대구,2021-06-09,2095450,내국인
대구,2021-10-18,330,외국인
대구,2022-01-06,675,외국인
대구,2022-01-24,238,외국인
대구,2022-04-02,232,외국인
대구,2022-10-15,353,외국인
대구,2022-12-05,401,외국인
대구,2022-12-14,2179848,내국인
대구,2022-02-26,296,외국인
대구,2022-03-01,1987844,내국인
대구,2022-12-03,288,외국인
대구,2022-12-20,342,외국인
대구,2023-01-15,2161781,내국인
대구,2023-02-10,2379438,내국인
대구,2021-12-17,375,외국인
대구,2022-02-25,2012543,내국인
대구,2022-04-16,435,외국인
대구,2022-04-26,464,외국인
대구,2022-06-19,806,외국인
대구,2022-06-28,2164437,내국인
대구,2022-08-15,2141867,내국인
대구,2022-09-09,307,외국인
대구,2022-11-08,2272189,내국인
대구,2022-12-11,2267926,내국인
대구,2023-02-09,2279575,내국인
대구,2023-03-18,340,외국인
대구,2023-03-20,346,외국인
대구,2023-04-14,1289,외국인
대구,2023-02-24,281,외국인
대구,2022-05-22,2172389,내국인
대구,2022-07-03,2003820,내국인
대구,2022-07-14,2401747,내국인
대구,2022-09-07,2407365,내국인
대구,2022-09-12,280,외국인
대구,2023-02-17,276,외국인
대구,2020-12-09,434,외국인
대구,2021-01-18,173,외국인
대구,2021-02-03,192,외국인
대구,2021-02-18,239,외국인
대구,2021-05-19,211,외국인
대구,2021-05-29,2344526,내국인
